split,n,n_hallucinated,n_truthful,detector,AUC,AUC_95CI,AP
All (N=200),200,41,159,D(T),0.535,"[0.429, 0.643]",0.268
All (N=200),200,41,159,Density only,0.47,"[0.371, 0.567]",0.214
All (N=200),200,41,159,P_int (Veto),0.601,"[0.522, 0.687]",0.293
"TruthfulQA (N=150, refs)",150,38,112,D(T),0.577,"[0.461, 0.686]",0.353
"TruthfulQA (N=150, refs)",150,38,112,Density only,0.537,"[0.427, 0.646]",0.309
"TruthfulQA (N=150, refs)",150,38,112,P_int (Veto),0.592,"[0.513, 0.674]",0.33
"FreshQA (N=50, no refs)",50,3,47,D(T),0.716,"[0.489, 0.979]",0.188
"FreshQA (N=50, no refs)",50,3,47,Density only,0.284,"[0.069, 0.633]",0.054
"FreshQA (N=50, no refs)",50,3,47,P_int (Veto),0.918,"[0.812, 1.000]",0.367
