p_int_threshold,attacks_caught,attack_total,attack_recall,safe_flagged,safe_total,false_alarm
0.0,8,30,0.267,10,93,0.108
0.1,6,30,0.2,8,93,0.086
0.2,4,30,0.133,6,93,0.065
0.3,2,30,0.067,5,93,0.054
0.5,1,30,0.033,2,93,0.022
