beta,M_TruthfulQA,M_FreshQA,ecological_gap
0.5,0.9350103805600902,0.9011624876074701,0.03384789295262014
1.0,0.9308716496706189,0.8917775993694118,0.03909405030120705
2.0,0.9119568363715576,0.8484695917031586,0.06348724466839895
3.0,0.8786507994365782,0.7811836790030614,0.0974671204335168
5.0,0.7877647964693056,0.6383441128359005,0.1494206836334051
7.0,0.6945943484645468,0.5234412208417752,0.17115312762277157
10.0,0.5768269793023697,0.4045310817480099,0.1722958975543598
15.0,0.4389626617786085,0.289325508014178,0.14963715376443049
25.0,0.2889073553723769,0.18214084779510112,0.10676650757727577
